順位,ポケモン,調整1位,性格1位,性格2位,性格3位,特性1位,特性2位,特性3位,技1位,技2位,技3位,技4位,技5位,道具1位,道具2位,道具3位,道具4位,道具5位
"1位"," ガブリアス","2-32-0-0-0-32(54.40%)","ようきS↑C↓ (71.50%)","いじっぱりA↑C↓ (14.10%)","わんぱくB↑C↓ (8.60%)","さめはだ (99.00%)","すながくれ (0.80%)","-","じしん (99.00%)","げきりん (63.50%)","ステルスロック (53.00%)","がんせきふうじ (45.50%)","どくづき (23.70%)","きあいのタスキ (42.50%)","こだわりスカーフ (30.10%)","オボンのみ (12.50%)","ラムのみ (7.00%)","ガブリアスナイト (1.70%)"
"2位"," アシレーヌ","32-0-0-32-0-2(43.00%)","ひかえめC↑A↓ (46.50%)","ずぶといB↑A↓ (25.30%)","おだやかD↑A↓ (10.60%)","げきりゅう (90.80%)","うるおいボイス (9.10%)","-","ムーンフォース (96.00%)","うたかたのアリア (89.50%)","アクアジェット (67.50%)","クイックターン (42.20%)","アンコール (35.00%)","オボンのみ (46.50%)","たべのこし (20.30%)","しんぴのしずく (10.60%)","ラムのみ (7.50%)","きあいのタスキ (7.50%)"
"3位"," リザードン","2-0-0-32-0-32(42.50%)","おくびょうS↑A↓ (42.50%)","ひかえめC↑A↓ (17.20%)","いじっぱりA↑C↓ (10.60%)","もうか (77.60%)","サンパワー (22.20%)","-","ソーラービーム (69.30%)","ニトロチャージ (46.70%)","かえんほうしゃ (40.90%)","オーバーヒート (36.70%)","エアスラッシュ (32.00%)","リザードナイトY (70.00%)","リザードナイトX (28.70%)","こだわりスカーフ (0.20%)","きあいのタスキ (0.10%)","オボンのみ (0.10%)"
"4位"," アーマーガア","32-0-32-0-2-0(53.20%)","わんぱくB↑C↓ (45.70%)","のんきB↑S↓ (12.10%)","しんちょうD↑C↓ (6.50%)","プレッシャー (53.20%)","ミラーアーマー (44.40%)","きんちょうかん (2.20%)","はねやすめ (96.60%)","ボディプレス (88.40%)","てっぺき (76.60%)","とんぼがえり (63.70%)","アイアンヘッド (24.30%)","たべのこし (67.60%)","オボンのみ (20.70%)","ひかりのこな (3.70%)","ラムのみ (3.00%)","オッカのみ (0.60%)"
"5位"," ブリジュラス","2-0-0-32-0-32(14.30%)","おくびょうS↑A↓ (43.40%)","ずぶといB↑A↓ (23.80%)","おだやかD↑A↓ (13.00%)","じきゅうりょく (81.30%)","がんじょう (18.50%)","すじがねいり (0.10%)","ラスターカノン (78.30%)","りゅうせいぐん (71.40%)","ステルスロック (55.00%)","10まんボルト (54.00%)","はどうだん (33.20%)","たべのこし (31.70%)","オボンのみ (30.00%)","しろいハーブ (19.70%)","こだわりスカーフ (6.40%)","ラムのみ (2.00%)"
"6位"," ゲンガー","2-0-0-32-0-32(66.60%)","おくびょうS↑A↓ (90.80%)","ひかえめC↑A↓ (8.00%)","せっかちS↑B↓ (0.30%)","のろわれボディ (100.00%)","-","-","シャドーボール (87.10%)","ヘドロウェーブ (81.60%)","みちづれ (42.40%)","きあいだま (39.40%)","こごえるかぜ (27.70%)","ゲンガナイト (83.80%)","きあいのタスキ (12.10%)","こだわりスカーフ (2.70%)","のろいのおふだ (0.10%)","せんせいのツメ (0.10%)"
"7位"," カバルドン","32-0-2-0-32-0(22.70%)","わんぱくB↑C↓ (70.10%)","しんちょうD↑C↓ (22.20%)","のんきB↑S↓ (2.90%)","すなおこし (99.50%)","すなのちから (0.40%)","-","じしん (97.10%)","ステルスロック (96.60%)","あくび (96.00%)","なまける (52.90%)","ふきとばし (33.90%)","オボンのみ (70.10%)","たべのこし (25.10%)","メンタルハーブ (1.30%)","ラムのみ (1.10%)","ひかりのこな (0.50%)"
"8位"," ハッサム","32-32-2-0-0-0(15.80%)","いじっぱりA↑C↓ (93.30%)","わんぱくB↑C↓ (1.20%)","しんちょうD↑C↓ (1.10%)","テクニシャン (98.10%)","むしのしらせ (0.80%)","ライトメタル (0.80%)","バレットパンチ (99.80%)","つるぎのまい (94.30%)","インファイト (71.30%)","はたきおとす (48.40%)","はねやすめ (30.80%)","ハッサムナイト (85.00%)","オボンのみ (4.50%)","ラムのみ (2.90%)","メタルコート (2.20%)","たべのこし (1.30%)"
"9位"," ギルガルド","32-32-1-0-1-0(15.00%)","いじっぱりA↑C↓ (54.70%)","れいせいC↑S↓ (19.00%)","ゆうかんA↑S↓ (16.50%)","バトルスイッチ (100.00%)","-","-","かげうち (94.50%)","キングシールド (73.40%)","ポルターガイスト (65.50%)","せいなるつるぎ (43.90%)","インファイト (33.90%)","たべのこし (42.00%)","のろいのおふだ (40.70%)","きあいのタスキ (6.00%)","オボンのみ (3.50%)","ラムのみ (3.40%)"
"10位"," マスカーニャ","2-32-0-0-0-32(60.00%)","ようきS↑C↓ (54.20%)","いじっぱりA↑C↓ (43.00%)","むじゃきS↑D↓ (0.60%)","へんげんじざい (92.00%)","しんりょく (8.00%)","-","トリックフラワー (96.50%)","トリプルアクセル (81.50%)","はたきおとす (71.40%)","とんぼがえり (66.00%)","ふいうち (24.70%)","こだわりスカーフ (61.70%)","きあいのタスキ (31.10%)","ラムのみ (1.20%)","オボンのみ (0.80%)","おうじゃのしるし (0.60%)"
